                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92114,                 2.5066,                   1.37,                0.69731,                0.56643,                0.62879,                0.37101,                 1.2621,                 1.8216,                 1.7437,             0.00020701,             0.00020701,             0.00020701
                      2,                 1.0002,                 1.5398,                 1.4091,                0.60988,                0.48829,                0.58285,                  0.345,                 1.3807,                 1.9772,                 1.8434,             0.00041261,             0.00041261,             0.00041261
                      3,                 1.0728,                 1.5668,                 1.4612,                0.60735,                 0.5387,                0.59412,                0.33756,                 1.3083,                 1.8454,                 1.8396,             0.00061545,             0.00061545,             0.00061545
                      4,                 1.0631,                 1.5301,                 1.4581,                 0.7067,                0.56416,                0.64464,                0.42032,                 1.2079,                 1.6666,                 1.7166,             0.00061262,             0.00061262,             0.00061262
                      5,                 1.0425,                 1.4738,                 1.4457,                0.74717,                0.64096,                0.70969,                0.47154,                 1.1424,                 1.4527,                 1.6548,             0.00061262,             0.00061262,             0.00061262
                      6,                 1.0056,                 1.3689,                 1.4231,                 0.6985,                0.62092,                0.68912,                0.46313,                  1.166,                 1.5255,                 1.6849,              0.0006085,              0.0006085,              0.0006085
                      7,                0.99319,                 1.3229,                 1.4022,                0.75718,                0.70048,                0.76457,                0.53385,                 1.0975,                 1.2368,                 1.6011,             0.00060437,             0.00060437,             0.00060437
                      8,                0.96046,                 1.2713,                 1.3856,                0.75312,                0.68649,                0.75378,                0.53258,                 1.1048,                 1.2593,                 1.5933,             0.00060025,             0.00060025,             0.00060025
                      9,                0.92438,                 1.2253,                 1.3639,                0.67399,                 0.5767,                0.63342,                0.39917,                 1.2584,                 1.5326,                  1.817,             0.00059612,             0.00059612,             0.00059612
                     10,                0.92366,                 1.1941,                 1.3626,                0.83609,                0.69762,                0.79105,                0.56765,                 1.0551,                 1.1242,                 1.5513,               0.000592,               0.000592,               0.000592
                     11,                0.91252,                 1.1554,                 1.3524,                0.77363,                0.73939,                0.80677,                0.58489,                0.99283,                 1.0462,                 1.5026,             0.00058787,             0.00058787,             0.00058787
                     12,                0.88855,                 1.1053,                 1.3472,                0.80584,                0.69862,                0.79884,                0.58166,                0.99593,                 1.0294,                 1.4905,             0.00058375,             0.00058375,             0.00058375
                     13,                0.87421,                 1.0887,                 1.3238,                0.83863,                0.73237,                0.81489,                0.57753,                 1.0451,                 1.0343,                 1.5687,             0.00057963,             0.00057963,             0.00057963
                     14,                0.85442,                 1.0254,                 1.3051,                0.83935,                0.74983,                0.83143,                0.61739,                0.93737,                   0.95,                 1.4479,              0.0005755,              0.0005755,              0.0005755
                     15,                0.85487,                 1.0234,                 1.3095,                0.83886,                 0.7676,                0.83352,                0.61517,                0.93921,                0.93049,                 1.4412,             0.00057138,             0.00057138,             0.00057138
                     16,                0.82806,                 1.0112,                 1.2854,                0.83384,                0.74131,                0.82713,                0.61967,                0.91828,                0.91579,                 1.4201,             0.00056725,             0.00056725,             0.00056725
                     17,                0.83201,                0.98763,                 1.2973,                 0.8435,                0.76931,                0.83824,                0.62717,                0.93127,                0.90661,                 1.4201,             0.00056313,             0.00056313,             0.00056313
                     18,                 0.8118,                0.96111,                 1.2861,                0.86879,                 0.7468,                0.83917,                0.63195,                0.91279,                0.92992,                 1.4331,               0.000559,               0.000559,               0.000559
                     19,                0.79805,                0.92732,                 1.2573,                0.84759,                0.75632,                0.83785,                0.62858,                0.93064,                0.90338,                 1.4336,             0.00055488,             0.00055488,             0.00055488
                     20,                0.80586,                0.90952,                 1.2821,                0.83264,                0.80185,                0.85734,                0.65078,                0.90651,                0.89827,                  1.402,             0.00055075,             0.00055075,             0.00055075
                     21,                0.78624,                0.91242,                 1.2594,                0.82902,                0.80007,                0.85526,                0.64706,                0.89613,                0.84716,                 1.3978,             0.00054663,             0.00054663,             0.00054663
                     22,                0.76514,                0.87629,                 1.2445,                0.83736,                0.79524,                0.85156,                0.64488,                0.88798,                0.88589,                 1.3888,              0.0005425,              0.0005425,              0.0005425
                     23,                0.77147,                0.86629,                 1.2481,                0.87017,                0.80399,                0.86421,                0.67276,                0.84839,                0.78078,                 1.3631,             0.00053838,             0.00053838,             0.00053838
                     24,                0.76241,                0.86331,                 1.2515,                0.87442,                0.80072,                0.86609,                0.65607,                0.87729,                 0.8133,                 1.3867,             0.00053425,             0.00053425,             0.00053425
                     25,                0.74335,                0.84877,                 1.2374,                0.84337,                0.76558,                0.83897,                0.62803,                0.92686,                0.88136,                 1.4381,             0.00053013,             0.00053013,             0.00053013
                     26,                0.76413,                0.84226,                 1.2369,                0.85374,                0.82084,                0.87181,                0.67143,                0.84036,                0.78606,                 1.3515,               0.000526,               0.000526,               0.000526
                     27,                0.76177,                0.85988,                 1.2427,                0.85294,                0.80031,                0.85753,                0.67652,                0.83083,                0.79486,                 1.3505,             0.00052188,             0.00052188,             0.00052188
                     28,                0.74084,                 0.8197,                 1.2284,                0.87308,                0.76678,                0.85458,                0.66527,                0.85464,                0.82019,                 1.3622,             0.00051775,             0.00051775,             0.00051775
                     29,                0.73638,                0.79677,                 1.2181,                0.86661,                0.81513,                0.87672,                0.67961,                0.82837,                0.75548,                 1.3239,             0.00051363,             0.00051363,             0.00051363
