                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90518,                 2.5318,                 1.3537,                0.67703,                0.59477,                0.65574,                0.45402,                 1.0263,                 1.7617,                 1.4706,             0.00020701,             0.00020701,             0.00020701
                      2,                0.98739,                 1.6135,                 1.4022,                0.52504,                0.52275,                 0.5068,                 0.3396,                 1.1716,                  2.082,                 1.6688,             0.00041261,             0.00041261,             0.00041261
                      3,                 1.0651,                 1.6315,                 1.4485,                0.53215,                0.42441,                0.44891,                0.24608,                 1.5549,                 2.2075,                 2.1213,             0.00061545,             0.00061545,             0.00061545
                      4,                 1.0739,                 1.6383,                 1.4581,                 0.5067,                0.44312,                0.41617,                0.23413,                 1.4697,                 2.5978,                 2.0075,             0.00061262,             0.00061262,             0.00061262
                      5,                 1.0318,                  1.533,                 1.4251,                0.71377,                0.55204,                0.64652,                0.40087,                 1.2234,                 1.6511,                 1.6762,             0.00061262,             0.00061262,             0.00061262
                      6,                 1.0004,                 1.4269,                 1.4064,                0.70746,                0.62794,                0.67834,                0.45266,                  1.138,                 1.4851,                 1.6097,              0.0006085,              0.0006085,              0.0006085
                      7,                0.97569,                 1.3926,                 1.3881,                0.77258,                0.64274,                0.72151,                0.50774,                 1.0503,                 1.2889,                 1.5309,             0.00060437,             0.00060437,             0.00060437
                      8,                0.96419,                 1.3559,                 1.3859,                0.79991,                0.67957,                0.73761,                0.52521,                 1.0569,                 1.2741,                 1.5193,             0.00060025,             0.00060025,             0.00060025
                      9,                0.93358,                 1.2968,                 1.3628,                0.75255,                0.66135,                 0.7223,                0.52476,                 1.0139,                 1.3164,                 1.4839,             0.00059612,             0.00059612,             0.00059612
                     10,                0.91409,                 1.2518,                 1.3554,                 0.8041,                0.67028,                0.74172,                0.52141,                 1.0274,                 1.2096,                 1.4835,               0.000592,               0.000592,               0.000592
                     11,                0.90525,                 1.2086,                 1.3408,                0.81204,                0.70981,                0.77036,                 0.5715,                 1.0015,                 1.1575,                 1.4949,             0.00058787,             0.00058787,             0.00058787
                     12,                0.88076,                 1.1628,                  1.332,                0.79151,                0.69138,                0.77192,                 0.5752,                0.95999,                 1.1339,                 1.4328,             0.00058375,             0.00058375,             0.00058375
                     13,                0.87449,                 1.1529,                 1.3149,                0.81791,                0.68845,                0.76368,                 0.5662,                0.97747,                 1.1982,                 1.4718,             0.00057963,             0.00057963,             0.00057963
                     14,                0.84465,                  1.092,                 1.2925,                0.79864,                0.68924,                0.77393,                0.59503,                0.88471,                 1.0836,                 1.3621,              0.0005755,              0.0005755,              0.0005755
                     15,                 0.8476,                  1.086,                 1.3024,                 0.8153,                0.71131,                0.78654,                0.60481,                0.87237,                 1.0597,                 1.3715,             0.00057138,             0.00057138,             0.00057138
                     16,                0.83513,                 1.0699,                 1.2774,                0.81421,                0.73205,                0.78575,                0.60746,                0.87005,                 1.0389,                  1.349,             0.00056725,             0.00056725,             0.00056725
                     17,                0.83171,                 1.0634,                 1.2886,                0.83799,                0.72312,                0.79736,                0.60888,                 0.9112,                 1.0142,                 1.3969,             0.00056313,             0.00056313,             0.00056313
                     18,                0.81528,                 1.0181,                 1.2823,                0.83768,                 0.6933,                0.78747,                0.60575,                0.86946,                 1.0526,                 1.3709,               0.000559,               0.000559,               0.000559
                     19,                0.79279,                0.98613,                  1.253,                0.86799,                0.72345,                0.81023,                0.61947,                0.87453,                 1.0035,                 1.3691,             0.00055488,             0.00055488,             0.00055488
                     20,                0.79694,                0.97085,                 1.2697,                0.80563,                0.74744,                0.79813,                0.62656,                0.84622,                0.97843,                 1.3327,             0.00055075,             0.00055075,             0.00055075
                     21,                0.77937,                0.96036,                  1.252,                0.87862,                0.70588,                0.80758,                0.62762,                0.84145,                0.97474,                 1.3364,             0.00054663,             0.00054663,             0.00054663
                     22,                 0.7715,                0.92256,                 1.2415,                 0.7408,                0.69749,                0.74798,                0.53195,                0.99917,                 1.1558,                 1.4815,              0.0005425,              0.0005425,              0.0005425
                     23,                 0.7525,                0.91782,                 1.2351,                0.88897,                0.69403,                0.80612,                0.63081,                0.83398,                 1.0051,                 1.3394,             0.00053838,             0.00053838,             0.00053838
                     24,                0.74877,                0.92173,                 1.2408,                0.81166,                0.73505,                0.77885,                0.60675,                0.84786,                 1.0514,                 1.3261,             0.00053425,             0.00053425,             0.00053425
                     25,                0.74215,                0.90325,                 1.2306,                0.85431,                0.75069,                0.81626,                0.64647,                0.84092,                0.92321,                  1.324,             0.00053013,             0.00053013,             0.00053013
                     26,                0.74975,                0.89581,                 1.2288,                0.81642,                0.77366,                0.81943,                0.65305,                0.81092,                0.92216,                 1.2982,               0.000526,               0.000526,               0.000526
                     27,                0.76288,                 0.9078,                  1.236,                0.83596,                0.74678,                0.81398,                0.65206,                0.80239,                0.92472,                 1.2942,             0.00052188,             0.00052188,             0.00052188
                     28,                 0.7246,                0.86323,                 1.2194,                0.86226,                0.76912,                0.83777,                0.66333,                0.81987,                0.86002,                 1.3096,             0.00051775,             0.00051775,             0.00051775
                     29,                0.74272,                0.86373,                 1.2163,                0.81951,                0.75483,                0.81157,                0.64916,                0.79304,                0.91931,                 1.2719,             0.00051363,             0.00051363,             0.00051363
                     30,                0.73677,                0.85436,                 1.2235,                0.86716,                0.76244,                0.83056,                0.66323,                0.79738,                0.88992,                 1.2768,              0.0005095,              0.0005095,              0.0005095
                     31,                0.72014,                 0.8388,                 1.2087,                0.84766,                0.76027,                0.83139,                0.66765,                0.77472,                0.85569,                  1.267,             0.00050537,             0.00050537,             0.00050537
                     32,                0.71218,                0.81538,                 1.2059,                0.84815,                0.77113,                0.82872,                0.67904,                0.76198,                0.86187,                 1.2509,             0.00050125,             0.00050125,             0.00050125
                     33,                 0.7082,                0.82782,                 1.2019,                0.84232,                 0.7708,                0.82727,                  0.669,                0.78013,                0.86418,                 1.2678,             0.00049712,             0.00049712,             0.00049712
                     34,                0.71221,                0.80889,                 1.2046,                0.84499,                0.78419,                0.83826,                0.66478,                0.78784,                 0.8705,                 1.2843,               0.000493,               0.000493,               0.000493
                     35,                 0.6988,                0.80992,                 1.1955,                 0.8713,                 0.7476,                0.82514,                0.66237,                0.79336,                  0.895,                   1.29,             0.00048888,             0.00048888,             0.00048888
                     36,                0.67819,                0.77854,                 1.1871,                0.84145,                0.77202,                0.82789,                0.66573,                0.78379,                0.86794,                 1.2744,             0.00048475,             0.00048475,             0.00048475
                     37,                0.68987,                0.77712,                 1.1874,                0.84487,                0.77235,                0.82686,                0.66713,                0.78724,                0.87409,                 1.2731,             0.00048062,             0.00048062,             0.00048062
                     38,                0.67375,                0.77531,                 1.1767,                 0.8624,                0.77508,                0.83981,                0.68364,                0.76069,                0.83423,                 1.2621,              0.0004765,              0.0004765,              0.0004765
                     39,                0.68162,                0.77147,                 1.1867,                0.85118,                0.75789,                0.82789,                0.66351,                0.78116,                0.90067,                  1.265,             0.00047237,             0.00047237,             0.00047237
                     40,                0.67804,                0.75548,                  1.179,                0.84697,                0.77314,                0.83929,                0.67849,                0.74877,                0.82376,                 1.2513,             0.00046825,             0.00046825,             0.00046825
                     41,                0.67933,                0.76411,                 1.1887,                0.84166,                0.78714,                0.83557,                0.67997,                0.75271,                0.83683,                 1.2513,             0.00046413,             0.00046413,             0.00046413
                     42,                0.67748,                0.76394,                 1.1756,                0.87797,                0.74416,                0.83414,                0.67872,                 0.7488,                0.86818,                 1.2507,                0.00046,                0.00046,                0.00046
                     43,                0.66326,                 0.7371,                 1.1681,                 0.8703,                0.78151,                0.84698,                0.68828,                0.75723,                0.83455,                 1.2511,             0.00045588,             0.00045588,             0.00045588
                     44,                0.66384,                0.72031,                 1.1675,                0.83406,                0.78908,                0.83477,                  0.673,                0.75959,                0.84721,                 1.2665,             0.00045175,             0.00045175,             0.00045175
                     45,                0.65244,                0.72685,                 1.1601,                0.85487,                0.75146,                0.82384,                0.66098,                0.78208,                0.89793,                 1.2917,             0.00044763,             0.00044763,             0.00044763
                     46,                0.66143,                0.71565,                 1.1582,                0.84928,                0.78463,                0.83835,                0.68092,                0.77031,                0.84064,                 1.2684,              0.0004435,              0.0004435,              0.0004435
                     47,                0.64158,                0.71752,                 1.1518,                0.85758,                  0.769,                0.83089,                0.67705,                0.75945,                0.84513,                 1.2515,             0.00043937,             0.00043937,             0.00043937
                     48,                0.63502,                0.68098,                 1.1463,                0.84986,                0.78055,                0.83167,                0.68207,                0.73822,                0.83927,                 1.2502,             0.00043525,             0.00043525,             0.00043525
                     49,                0.64695,                0.68799,                 1.1595,                0.84826,                0.79214,                 0.8387,                0.68729,                0.75638,                0.85229,                 1.2593,             0.00043112,             0.00043112,             0.00043112
                     50,                0.63501,                0.68343,                  1.151,                0.90396,                0.75824,                0.85092,                0.69934,                0.74206,                0.79736,                 1.2433,               0.000427,               0.000427,               0.000427
                     51,                0.62732,                0.68161,                 1.1447,                 0.8759,                0.77071,                0.84186,                 0.6989,                0.72679,                0.81702,                 1.2244,             0.00042288,             0.00042288,             0.00042288
                     52,                0.62573,                0.67265,                 1.1379,                 0.8602,                0.77355,                0.83479,                0.68594,                0.72755,                0.80388,                  1.231,             0.00041875,             0.00041875,             0.00041875
