                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91457,                 2.7028,                 1.3733,                0.77938,                0.68968,                0.74475,                0.59636,                0.76059,                 1.2925,                 1.2376,              0.0033122,              0.0033122,              0.0033122
                      2,                0.82123,                 1.3075,                 1.2838,                0.72623,                0.59152,                0.66539,                0.47511,                0.98431,                 1.4406,                 1.4608,              0.0066324,              0.0066324,              0.0066324
                      3,                0.92485,                 1.3714,                 1.3454,                0.66073,                0.43631,                0.50407,                0.33745,                 1.2326,                 2.1889,                 1.7387,              0.0099394,              0.0099394,              0.0099394
                      4,                  1.041,                 1.5299,                 1.4271,                0.45789,                0.35865,                0.35429,                0.22374,                 1.3751,                 2.4462,                 1.8936,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0614,                 1.5298,                 1.4495,                 0.6348,                0.49011,                0.55754,                0.36288,                 1.2631,                 1.8916,                 1.7359,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0424,                 1.4805,                  1.428,                0.65983,                0.63922,                0.66947,                0.44933,                 1.1734,                 1.5096,                 1.6494,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0379,                 1.4391,                 1.4226,                0.69982,                0.58916,                0.64468,                0.43046,                 1.1926,                 1.6118,                 1.6723,               0.009901,               0.009901,               0.009901
                      8,                 1.0263,                 1.4446,                 1.4249,                0.66523,                0.57883,                  0.607,                0.38404,                 1.3313,                 1.6644,                 1.7898,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0119,                 1.3677,                 1.4019,                0.75013,                0.67383,                 0.7046,                0.50605,                 1.0766,                 1.3484,                 1.5652,              0.0098614,              0.0098614,              0.0098614
                     10,                0.98939,                 1.3244,                 1.3971,                0.73264,                0.58107,                0.65977,                0.42622,                 1.2052,                 1.5114,                 1.6928,              0.0098416,              0.0098416,              0.0098416
                     11,                0.98715,                 1.3033,                 1.3853,                0.74288,                0.67111,                0.73415,                0.53324,                 0.9928,                 1.2236,                 1.4817,              0.0098218,              0.0098218,              0.0098218
                     12,                0.96575,                 1.2651,                 1.3824,                0.80303,                0.65964,                0.74932,                0.54629,                  1.005,                  1.167,                 1.4737,               0.009802,               0.009802,               0.009802
                     13,                0.96241,                 1.2686,                 1.3651,                0.57075,                0.38826,                0.43743,                0.26937,                 1.4503,                 2.1612,                 1.9568,              0.0097822,              0.0097822,              0.0097822
                     14,                0.94354,                 1.1974,                 1.3498,                0.83489,                0.68057,                0.76747,                0.57096,                0.98238,                 1.1193,                 1.4903,              0.0097624,              0.0097624,              0.0097624
                     15,                0.93594,                 1.1885,                  1.352,                0.75184,                0.61481,                0.69418,                0.48857,                 1.0653,                 1.3553,                 1.5602,              0.0097426,              0.0097426,              0.0097426
                     16,                0.90936,                 1.1728,                 1.3287,                0.77359,                0.67916,                0.74356,                0.54272,                 1.0036,                 1.1946,                 1.4642,              0.0097228,              0.0097228,              0.0097228
                     17,                0.91707,                 1.1532,                 1.3353,                0.81426,                0.69679,                0.76609,                0.56158,                0.97411,                 1.1358,                 1.4511,               0.009703,               0.009703,               0.009703
                     18,                0.90062,                 1.1312,                 1.3292,                0.79422,                0.72189,                0.76424,                0.56918,                0.94851,                 1.1406,                 1.4413,              0.0096832,              0.0096832,              0.0096832
                     19,                 0.8734,                 1.0828,                 1.2897,                0.83455,                0.69341,                0.76162,                0.58042,                0.92957,                 1.0888,                 1.4391,              0.0096634,              0.0096634,              0.0096634
                     20,                0.88053,                  1.078,                 1.3178,                0.84187,                0.69341,                0.76479,                0.57584,                0.92586,                 1.0897,                 1.4108,              0.0096436,              0.0096436,              0.0096436
                     21,                0.87462,                  1.085,                 1.3043,                 0.8079,                0.68647,                0.75476,                 0.5824,                0.88808,                 1.0837,                 1.3709,              0.0096238,              0.0096238,              0.0096238
                     22,                 0.8485,                 1.0413,                 1.2866,                 0.7992,                0.64706,                0.72436,                 0.5344,                 0.9932,                 1.2845,                 1.4681,               0.009604,               0.009604,               0.009604
                     23,                0.84454,                 1.0305,                 1.2831,                0.83464,                0.70305,                0.78461,                 0.5989,                0.88379,                 1.0075,                 1.3636,              0.0095842,              0.0095842,              0.0095842
                     24,                0.82826,                 1.0094,                 1.2817,                  0.774,                0.74579,                0.78941,                0.61079,                 0.8893,                 1.0483,                 1.3773,              0.0095644,              0.0095644,              0.0095644
                     25,                 0.8309,                0.98988,                 1.2803,                 0.8376,                0.68242,                0.76988,                0.58166,                0.95378,                 1.1939,                 1.4451,              0.0095446,              0.0095446,              0.0095446
                     26,                0.83401,                 1.0184,                  1.275,                0.80124,                0.73225,                0.79163,                0.60826,                0.89955,                 1.0472,                 1.3722,              0.0095248,              0.0095248,              0.0095248
                     27,                0.85496,                 1.0289,                 1.2912,                0.78745,                0.64795,                0.71981,                0.50355,                 1.0609,                 1.2048,                 1.5297,               0.009505,               0.009505,               0.009505
                     28,                0.82651,                0.98745,                 1.2731,                0.82219,                0.74021,                0.80413,                0.62288,                0.87774,                 0.9685,                 1.3638,              0.0094852,              0.0094852,              0.0094852
                     29,                 0.8292,                 0.9809,                  1.265,                0.83551,                0.70214,                0.76941,                0.59461,                0.88458,                 1.1086,                 1.3585,              0.0094654,              0.0094654,              0.0094654
                     30,                0.82807,                0.97716,                 1.2769,                0.82265,                0.73846,                0.79018,                0.62089,                0.82701,                0.97776,                 1.3102,              0.0094456,              0.0094456,              0.0094456
                     31,                0.80858,                0.94442,                 1.2601,                 0.8073,                0.74732,                0.79348,                0.61078,                0.87628,                0.97747,                 1.3556,              0.0094258,              0.0094258,              0.0094258
                     32,                0.80984,                0.92779,                 1.2552,                0.83415,                0.74757,                0.79597,                0.62275,                 0.8487,                0.97197,                 1.3296,               0.009406,               0.009406,               0.009406
                     33,                0.80727,                0.92905,                 1.2562,                0.82751,                0.74202,                0.79962,                0.61723,                0.86311,                0.99443,                 1.3479,              0.0093862,              0.0093862,              0.0093862
                     34,                0.79855,                0.92759,                 1.2498,                0.86238,                0.72844,                0.81518,                0.63991,                0.82875,                0.92782,                 1.3146,              0.0093664,              0.0093664,              0.0093664
                     35,                0.78078,                0.91939,                 1.2425,                0.83576,                0.72824,                0.79245,                 0.6225,                0.87956,                0.98034,                 1.3597,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.7755,                0.89643,                 1.2416,                0.82355,                0.74227,                0.80528,                0.61466,                0.88158,                 0.9598,                 1.3624,              0.0093268,              0.0093268,              0.0093268
                     37,                0.77763,                0.88652,                 1.2343,                0.83659,                0.76707,                 0.8146,                0.63856,                0.83216,                0.93756,                 1.3338,               0.009307,               0.009307,               0.009307
                     38,                0.76698,                  0.875,                 1.2287,                0.83103,                0.71594,                0.77966,                0.60282,                0.86783,                 1.0495,                 1.3595,              0.0092872,              0.0092872,              0.0092872
                     39,                0.77472,                  0.892,                  1.235,                0.85909,                0.72909,                0.80944,                0.63298,                0.84474,                0.95017,                 1.3391,              0.0092674,              0.0092674,              0.0092674
                     40,                0.76727,                0.87732,                 1.2294,                0.81287,                0.75633,                0.80341,                0.62977,                0.85266,                0.92355,                  1.333,              0.0092476,              0.0092476,              0.0092476
                     41,                0.76754,                 0.8776,                 1.2318,                 0.8236,                0.76217,                0.81384,                0.64925,                0.80805,                0.90876,                 1.2988,              0.0092278,              0.0092278,              0.0092278
                     42,                0.77443,                0.87172,                 1.2272,                0.83821,                0.73329,                0.80496,                0.63449,                0.82354,                0.90631,                 1.3145,               0.009208,               0.009208,               0.009208
                     43,                0.75337,                0.85859,                 1.2162,                0.83097,                0.73442,                0.81047,                0.64111,                0.83273,                0.91382,                 1.3239,              0.0091882,              0.0091882,              0.0091882
                     44,                0.75448,                 0.8377,                 1.2179,                0.85267,                0.73831,                0.81233,                0.63959,                0.84683,                0.91552,                 1.3342,              0.0091684,              0.0091684,              0.0091684
                     45,                0.73689,                0.83531,                 1.2032,                0.87594,                0.70526,                0.79475,                0.63379,                0.83351,                0.98638,                 1.3235,              0.0091486,              0.0091486,              0.0091486
                     46,                0.75277,                0.83952,                   1.21,                0.86169,                0.73256,                0.80432,                0.63587,                0.82848,                 0.9119,                 1.3165,              0.0091288,              0.0091288,              0.0091288
                     47,                0.73983,                0.81826,                 1.2045,                0.85181,                0.76309,                 0.8238,                0.65644,                 0.8295,                0.92807,                 1.3165,               0.009109,               0.009109,               0.009109
                     48,                0.73622,                0.79665,                 1.1982,                0.86074,                0.73282,                0.81394,                0.64702,                0.81949,                0.88518,                 1.3134,              0.0090892,              0.0090892,              0.0090892
                     49,                0.73976,                0.80372,                 1.2078,                0.78838,                0.72403,                0.78112,                0.60473,                0.88097,                 1.0093,                  1.367,              0.0090694,              0.0090694,              0.0090694
                     50,                0.72787,                 0.7926,                 1.2016,                0.84125,                0.74962,                0.81742,                0.65658,                0.81433,                0.89878,                  1.298,              0.0090496,              0.0090496,              0.0090496
                     51,                0.72584,                0.81151,                 1.2022,                0.83858,                0.75837,                0.81879,                 0.6523,                0.82547,                0.89642,                 1.3058,              0.0090298,              0.0090298,              0.0090298
                     52,                 0.7253,                0.79289,                 1.1927,                0.87694,                0.72443,                0.81557,                0.65063,                 0.8321,                0.93332,                 1.3145,                0.00901,                0.00901,                0.00901
                     53,                0.71186,                0.80701,                 1.1889,                0.84385,                0.75758,                0.82975,                0.66815,                0.81024,                0.87466,                 1.2866,              0.0089902,              0.0089902,              0.0089902
                     54,                 0.7227,                0.80151,                 1.1958,                 0.8719,                 0.7505,                0.81843,                0.65902,                0.80789,                0.87073,                 1.3073,              0.0089704,              0.0089704,              0.0089704
                     55,                0.71392,                0.78532,                 1.1906,                0.87942,                0.72967,                0.80939,                0.63965,                 0.8521,                 0.9242,                  1.327,              0.0089506,              0.0089506,              0.0089506
                     56,                0.69765,                0.77284,                  1.188,                0.85417,                0.72473,                0.80447,                0.64094,                0.79946,                0.86638,                 1.2993,              0.0089308,              0.0089308,              0.0089308
                     57,                0.70549,                0.77151,                 1.1762,                0.87214,                0.74662,                0.82504,                0.65479,                 0.7972,                0.86608,                 1.2952,               0.008911,               0.008911,               0.008911
                     58,                0.69893,                0.76679,                 1.1831,                0.89046,                0.72366,                0.81721,                0.64628,                0.81856,                0.90529,                 1.3111,              0.0088912,              0.0088912,              0.0088912
                     59,                0.70027,                0.76187,                 1.1809,                 0.8293,                0.76586,                0.82103,                0.65409,                0.81045,                0.86436,                 1.3032,              0.0088714,              0.0088714,              0.0088714
                     60,                0.70039,                0.76678,                 1.1931,                0.84755,                 0.7735,                0.82349,                 0.6603,                0.79316,                0.85209,                 1.2965,              0.0088516,              0.0088516,              0.0088516
                     61,                0.70658,                0.77366,                 1.1825,                0.89247,                0.72676,                0.81918,                 0.6575,                0.80287,                0.87697,                 1.2946,              0.0088318,              0.0088318,              0.0088318
                     62,                0.69954,                0.76159,                 1.1742,                0.82481,                0.77771,                0.82069,                0.65922,                0.80276,                0.87177,                 1.3062,               0.008812,               0.008812,               0.008812
                     63,                0.69323,                0.75593,                 1.1749,                0.84133,                0.76533,                0.81882,                0.65095,                0.80598,                0.89664,                 1.3089,              0.0087922,              0.0087922,              0.0087922
                     64,                0.68247,                0.73279,                 1.1702,                0.81934,                0.75953,                0.80536,                0.64241,                0.81769,                0.92443,                 1.3119,              0.0087724,              0.0087724,              0.0087724
                     65,                0.67988,                0.72693,                 1.1657,                0.81842,                0.78491,                0.82396,                0.65698,                0.79787,                 0.8594,                 1.2883,              0.0087526,              0.0087526,              0.0087526
                     66,                 0.6865,                0.73809,                 1.1651,                0.82011,                0.78069,                0.82206,                0.65926,                0.81621,                0.89625,                 1.3161,              0.0087328,              0.0087328,              0.0087328
                     67,                0.69189,                 0.7286,                 1.1705,                0.80613,                0.79186,                 0.8178,                0.66302,                0.76725,                0.85148,                 1.2648,               0.008713,               0.008713,               0.008713
                     68,                0.66931,                0.72117,                 1.1595,                0.84605,                0.77289,                0.82641,                0.67105,                0.78708,                0.83859,                 1.2831,              0.0086932,              0.0086932,              0.0086932
                     69,                0.66449,                0.70715,                 1.1602,                0.86165,                0.75745,                0.82772,                0.66486,                0.78699,                0.86045,                 1.2794,              0.0086734,              0.0086734,              0.0086734
                     70,                0.67459,                0.73604,                 1.1519,                0.84117,                0.76284,                 0.8084,                0.65632,                0.78845,                0.90911,                 1.2856,              0.0086536,              0.0086536,              0.0086536
                     71,                0.68031,                0.72911,                 1.1722,                0.84737,                0.76276,                0.82744,                0.67257,                0.75531,                0.83075,                 1.2577,              0.0086338,              0.0086338,              0.0086338
                     72,                0.67121,                0.71193,                 1.1594,                0.86169,                0.77217,                0.83254,                 0.6771,                0.75863,                0.82003,                 1.2659,               0.008614,               0.008614,               0.008614
                     73,                0.66686,                 0.7013,                 1.1609,                0.80861,                0.79575,                0.83191,                0.66877,                 0.7775,                0.85004,                 1.2917,              0.0085942,              0.0085942,              0.0085942
                     74,                0.67125,                 0.7056,                 1.1655,                0.87685,                0.76261,                0.82441,                0.66741,                0.78645,                0.83221,                 1.2878,              0.0085744,              0.0085744,              0.0085744
                     75,                0.65801,                 0.6997,                 1.1506,                0.84264,                0.77923,                0.82776,                0.66992,                0.76001,                0.82452,                 1.2748,              0.0085546,              0.0085546,              0.0085546
                     76,                0.67492,                0.70977,                 1.1541,                0.86126,                0.75286,                0.83306,                0.68477,                0.76009,                0.82077,                 1.2652,              0.0085348,              0.0085348,              0.0085348
                     77,                0.65325,                0.67729,                 1.1472,                0.85873,                0.75926,                0.82394,                0.67058,                0.76877,                0.84141,                 1.2703,               0.008515,               0.008515,               0.008515
                     78,                0.65536,                0.69676,                 1.1484,                 0.8413,                0.76868,                0.82029,                0.65819,                0.79123,                0.85575,                 1.3007,              0.0084952,              0.0084952,              0.0084952
